time;mode;x_int;pitch;vel;ang_vel_y;xRef_x;xRef_theta;xRef_dx;u_cmd;u_L;u_R;com_x;com_y;com_z;roll;pitch_imu;yaw;v_ref_cmd;v_L_ref;v_R_ref
0.003103;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.581395;3.581395;3.581395;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.004321;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.581888;3.581888;3.581888;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.007012;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582200;3.582200;3.582200;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.009863;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582422;3.582422;3.582422;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.012428;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582422;3.582422;3.582422;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.014478;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582412;3.582412;3.582412;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.016470;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582415;3.582415;3.582415;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.018400;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582423;3.582423;3.582423;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.020428;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582434;3.582434;3.582434;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.022468;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582445;3.582445;3.582445;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.024373;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582455;3.582455;3.582455;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
